データ日付,NK 終値,NKVI 終値
20180522,22960.34,14.21
20180523,22689.74,16.18
20180524,22437.01,16.96
20180525,22450.79,15.76
20180528,22481.09,14.95
20180529,22358.43,15.99
20180530,22018.52,18.89
20180531,22201.82,17.09
20180601,22171.35,16.39
20180604,22475.94,15
20180605,22539.54,14.59
20180606,22625.73,14.36
20180607,22823.26,14.68
20180608,22694.5,16.05
20180611,22804.04,15.39
20180612,22878.35,15.28
20180613,22966.38,14.55
20180614,22738.61,15.69
20180615,22851.75,15
20180618,22680.33,16.24
20180619,22278.48,19.79
20180620,22555.43,17.34
20180621,22693.04,16.67
20180622,22516.83,17.55
20180625,22338.15,18.65
20180626,22342,18.53
20180627,22271.77,18.8
20180628,22270.39,19.84
20180629,22304.51,19.4
20180702,21811.93,23.01
20180703,21785.54,21.11
20180704,21717.04,19.99
20180705,21546.99,20.55
20180706,21788.14,18.17
20180709,22052.18,16.64
20180710,22196.89,16.11
20180711,21932.21,17.7
20180712,22187.96,16.84
20180713,22597.35,16.19
20180717,22697.36,16.39
20180718,22794.19,15.83
20180719,22764.68,15.78
20180720,22697.88,16.38
20180723,22396.99,18.19
20180724,22510.48,16.66
20180725,22614.25,16.21
20180726,22586.87,16.39
20180727,22712.75,16.01
20180730,22544.84,16.94
20180731,22553.72,15.68
20180801,22746.7,14.63
20180802,22512.53,16.26
20180803,22525.18,15.73
20180806,22507.32,15.58
20180807,22662.74,14.6
20180808,22644.31,14.6
20180809,22598.39,14.32
20180810,22298.08,16.19
20180813,21857.43,18.94
20180814,22356.08,15.98
20180815,22204.22,17.11
20180816,22192.04,17.72
20180817,22270.38,17.24
20180820,22199,17.02
20180821,22219.73,15.87
20180822,22362.55,15.46
20180823,22410.82,14.89
20180824,22601.77,14.55
20180827,22799.64,14.9
20180828,22813.47,14.69
20180829,22848.22,14.48
20180830,22869.5,14.97
20180831,22865.15,15.08
20180903,22707.38,15.57
20180904,22696.9,15.28
20180905,22580.83,16.47
20180906,22487.94,16.92
20180907,22307.06,17.17
20180910,22373.09,16.69
20180911,22664.69,16.13
20180912,22604.61,16.31
20180913,22821.32,16.44
20180914,23094.67,16.38
20180918,23420.54,17.04
20180919,23672.52,16.58
20180920,23674.93,16.1
20180921,23869.93,16.17
20180925,23940.26,16.48
20180926,24033.79,16.44
20180927,23796.74,16.33
